gen_id,isim,kategori,kaynak
BSU08820,katA,PerR (oksidatif stres),"Fuangthong ve ark. 2002 J Bacteriol (PMID 12029044); PROTECT/EXPOSE-E deneyinde (Moeller ve ark. 2012) PerR regulonu Mars-simule kosullarda indüklenmis bulundu"
BSU13850,zosA,PerR (oksidatif stres),"Fuangthong ve ark. 2002 J Bacteriol (PMID 12029044)"
BSU28170,hemA,"PerR (oksidatif stres, hem biyosentezi)","Fuangthong ve ark. 2002 J Bacteriol (PMID 12029044) -- PerR regulonunun hem biyosentezi kolu"
BSU28150,hemC,"PerR (oksidatif stres, hem biyosentezi)","Fuangthong ve ark. 2002 J Bacteriol (PMID 12029044)"
BSU28140,hemD,"PerR (oksidatif stres, hem biyosentezi)","Fuangthong ve ark. 2002 J Bacteriol (PMID 12029044)"
BSU28130,hemB,"PerR (oksidatif stres, hem biyosentezi)","Fuangthong ve ark. 2002 J Bacteriol (PMID 12029044)"
BSU28120,hemL,"PerR (oksidatif stres, hem biyosentezi)","Fuangthong ve ark. 2002 J Bacteriol (PMID 12029044)"
BSU38500,dltA,SigV (hücre zarfı/lizozim direnci),"Guariglia-Oropeza & Helmann 2011 J Bacteriol (PMID 21926231)"
BSU38510,dltB,SigV (hücre zarfı/lizozim direnci),"Guariglia-Oropeza & Helmann 2011 J Bacteriol (PMID 21926231)"
BSU38520,dltC,SigV (hücre zarfı/lizozim direnci),"Guariglia-Oropeza & Helmann 2011 J Bacteriol (PMID 21926231)"
BSU38530,dltD,SigV (hücre zarfı/lizozim direnci),"Guariglia-Oropeza & Helmann 2011 J Bacteriol (PMID 21926231)"
BSU38760,cydA,ResDE (O2 kısıtlaması),"Nakano ve ark. çalışmaları (ResD-ResE regulonu); ISS uçuş deneyinde (Nickerson lab, npj Microgravity 2019, PMC6323116) O2 kısıtlaması altında indüklendi"
BSU38750,cydB,ResDE (O2 kısıtlaması),"Nakano ve ark. çalışmaları; npj Microgravity 2019 (PMC6323116)"
BSU03320,nasB,"ResDE (O2 kısıtlaması, nitrat asimilasyonu)","Nakano ve ark. çalışmaları (ResD-ResE regulonu)"
BSU03310,nasC,"ResDE (O2 kısıtlaması, nitrat asimilasyonu)","Nakano ve ark. çalışmaları (ResD-ResE regulonu)"
BSU03300,nasD,"ResDE (O2 kısıtlaması, nitrat asimilasyonu)","Nakano ve ark. çalışmaları; npj Microgravity 2019 (PMC6323116)"
BSU03290,nasE,"ResDE (O2 kısıtlaması, nitrat asimilasyonu)","Nakano ve ark. çalışmaları; npj Microgravity 2019 (PMC6323116)"
BSU03280,nasF,"ResDE (O2 kısıtlaması, nitrat asimilasyonu)","Nakano ve ark. çalışmaları (ResD-ResE regulonu)"
BSU37280,narG,"ResDE (O2 kısıtlaması, anaerobik solunum)","Nakano ve ark. çalışmaları; npj Microgravity 2019 (PMC6323116)"
BSU37270,narH,"ResDE (O2 kısıtlaması, anaerobik solunum)","Nakano ve ark. çalışmaları; npj Microgravity 2019 (PMC6323116)"
BSU37260,narJ,"ResDE (O2 kısıtlaması, anaerobik solunum)","Nakano ve ark. çalışmaları; npj Microgravity 2019 (PMC6323116)"
BSU37320,narK,"ResDE (O2 kısıtlaması, anaerobik solunum)","npj Microgravity 2019 (PMC6323116)"
BSU03050,ldh,"ISS uçuş DEG (O2 kısıtlaması, fermantasyon)","Nickerson lab, npj Microgravity 2019 (PMC6323116) -- yer kontrolünde (O2 zengin) indüklenen 91 tutarlı DEG'den biri"
BSU03060,lctP,"ISS uçuş DEG (O2 kısıtlaması, fermantasyon)","npj Microgravity 2019 (PMC6323116)"
BSU06240,bdhA,"ISS uçuş DEG (O2 kısıtlaması, fermantasyon)","npj Microgravity 2019 (PMC6323116)"
BSU30780,menC,Solunum zinciri kofaktörü (menakinon biyosentezi),"Bu projenin FBA bulgusu: Mars senaryolarında esansiyellikten çıkıyor (bkz. README > Tekli gen silme bulguları)"
BSU30820,menD,Solunum zinciri kofaktörü (menakinon biyosentezi),"Bu projenin FBA bulgusu: Mars senaryolarında esansiyellikten çıkıyor (bkz. README > Tekli gen silme bulguları)"
BSU00740,pabB,Folat/tek-karbon metabolizması,"Bu projenin FBA bulgusu: Mars senaryolarında esansiyellikten çıkıyor (bkz. README > Tekli gen silme bulguları)"
BSU22780,folEA,Folat/tek-karbon metabolizması,"Bu projenin FBA bulgusu -- sınıra çok yakın noktalarda kararsız/hassas (bkz. README notu)"
