bakim_carpani,t,O2_lb,glc_lb,h2o_cap,durum,buyume
1.0,0.0,-0.5,-0.05,1.0,infeasible,
1.0,0.02,-0.69,-0.089,1.58,infeasible,
1.0,0.04,-0.88,-0.128,2.16,infeasible,
1.0,0.06,-1.0699999999999998,-0.16699999999999998,2.74,infeasible,
1.0,0.08,-1.26,-0.20600000000000002,3.32,infeasible,
1.0,0.1,-1.4500000000000002,-0.245,3.9000000000000004,infeasible,
1.0,0.12,-1.64,-0.284,4.48,infeasible,
1.0,0.14,-1.83,-0.323,5.0600000000000005,infeasible,
1.0,0.16,-2.02,-0.362,5.64,infeasible,
1.0,0.18,-2.21,-0.40099999999999997,6.22,infeasible,
1.0,0.2,-2.4000000000000004,-0.44,6.800000000000001,optimal,0.00535146686112192
1.0,0.22,-2.59,-0.479,7.38,optimal,0.009259248671342679
1.0,0.24,-2.78,-0.518,7.96,optimal,0.012731466923096445
1.0,0.26,-2.97,-0.557,8.54,optimal,0.016203685174849464
1.0,0.28,-3.16,-0.5960000000000001,9.120000000000001,optimal,0.01967590342660333
1.0,0.3,-3.35,-0.635,9.7,optimal,0.02314812167835702
1.0,0.32,-3.54,-0.674,10.28,optimal,0.02662033993010954
1.0,0.34,-3.7300000000000004,-0.7130000000000001,10.860000000000001,optimal,0.030092558181863398
1.0,0.36,-3.92,-0.752,11.44,optimal,0.033564776433617834
1.0,0.38,-4.109999999999999,-0.791,12.02,optimal,0.03703699468537087
1.0,0.4,-4.300000000000001,-0.8300000000000001,12.600000000000001,optimal,0.04050921293712501
1.0,0.42,-4.49,-0.869,13.18,optimal,0.04398143118887818
1.0,0.44,-4.68,-0.908,13.76,optimal,0.04745364944063188
1.0,0.46,-4.87,-0.9470000000000001,14.34,optimal,0.05092586769238472
1.0,0.48,-5.06,-0.986,14.92,optimal,0.05439808594413973
1.0,0.5,-5.25,-1.025,15.5,optimal,0.05787030419589188
1.0,0.52,-5.44,-1.064,16.08,optimal,0.06134252244764669
1.0,0.54,-5.630000000000001,-1.103,16.66,optimal,0.06481474069939967
1.0,0.56,-5.82,-1.1420000000000001,17.240000000000002,optimal,0.06828695895115304
1.0,0.58,-6.01,-1.181,17.82,optimal,0.07175917720290637
1.0,0.6,-6.2,-1.22,18.4,optimal,0.07523139545465976
1.0,0.62,-6.39,-1.2590000000000001,18.98,optimal,0.07870361370641304
1.0,0.64,-6.58,-1.298,19.56,optimal,0.08217583195816763
1.0,0.66,-6.7700000000000005,-1.337,20.14,optimal,0.08564805020992172
1.0,0.68,-6.960000000000001,-1.3760000000000001,20.720000000000002,optimal,0.08912026846167456
1.0,0.7,-7.1499999999999995,-1.415,21.299999999999997,optimal,0.09259248671342767
1.0,0.72,-7.34,-1.454,21.88,optimal,0.09606470496518069
1.0,0.74,-7.53,-1.493,22.46,optimal,0.09953692321693366
1.0,0.76,-7.72,-1.532,23.04,optimal,0.10300914146868753
1.0,0.78,-7.91,-1.571,23.62,optimal,0.10648135972044463
1.0,0.8,-8.100000000000001,-1.61,24.200000000000003,optimal,0.10995357797219762
1.0,0.82,-8.29,-1.649,24.779999999999998,optimal,0.11342579622394852
1.0,0.84,-8.48,-1.688,25.36,optimal,0.11689801447570138
1.0,0.86,-8.67,-1.727,25.94,optimal,0.12037023272745752
1.0,0.88,-8.86,-1.766,26.52,optimal,0.12384245097921026
1.0,0.9,-9.05,-1.805,27.1,optimal,0.1273146692309633
1.0,0.92,-9.24,-1.844,27.68,optimal,0.13078688748271755
1.0,0.94,-9.43,-1.883,28.259999999999998,optimal,0.13425910573447056
1.0,0.96,-9.62,-1.922,28.84,optimal,0.13773132398622448
1.0,0.98,-9.81,-1.961,29.419999999999998,optimal,0.14120354223797635
1.0,1.0,-10.0,-2.0,30.0,optimal,0.14467576048973024
1.5,0.0,-0.5,-0.05,1.0,infeasible,
1.5,0.02,-0.69,-0.089,1.58,infeasible,
