bakim_carpani,t,O2_ub,glc_ub,organik_ub,h2o_ub,durum,buyume
1.0,0.0,0.02,0.005,0.0005,0.05,optimal,0.0013378384947703233
1.0,0.02,0.0826,0.024900000000000002,0.00249,20.049000000000003,optimal,0.006662435703954568
1.0,0.04,0.1452,0.0448,0.00448,40.048,optimal,0.011987032913139215
1.0,0.06,0.20779999999999998,0.0647,0.00647,60.047,optimal,0.017311630122323764
1.0,0.08,0.27040000000000003,0.08460000000000001,0.00846,80.046,optimal,0.022636227331508108
1.0,0.1,0.333,0.10450000000000001,0.010450000000000001,100.045,optimal,0.02796082454069307
1.0,0.12,0.3956,0.1244,0.012440000000000001,120.044,optimal,0.033285421749877614
1.0,0.14,0.45820000000000005,0.1443,0.014430000000000002,140.04300000000003,optimal,0.03861001895906195
1.0,0.16,0.5208,0.1642,0.01642,160.04200000000003,optimal,0.04393461616824671
1.0,0.18,0.5834,0.18409999999999999,0.01841,180.04100000000003,optimal,0.04925921337743085
1.0,0.2,0.646,0.20400000000000001,0.0204,200.04000000000002,optimal,0.05458381058661583
1.0,0.22,0.7086,0.22390000000000002,0.02239,220.03900000000002,optimal,0.05990840779579996
1.0,0.24,0.7712,0.2438,0.024380000000000002,240.038,optimal,0.0652330050049849
1.0,0.26,0.8338,0.2637,0.02637,260.03700000000003,optimal,0.07055760221416943
1.0,0.28,0.8964000000000001,0.2836,0.028360000000000003,280.03600000000006,optimal,0.075882199423354
1.0,0.3,0.959,0.3035,0.030350000000000002,300.035,optimal,0.08120679663253834
1.0,0.32,1.0216,0.3234,0.03234,320.03400000000005,optimal,0.08653139384172309
1.0,0.34,1.0842,0.34330000000000005,0.034330000000000006,340.0330000000001,optimal,0.09185599105090766
1.0,0.36,1.1468,0.36319999999999997,0.03632,360.03200000000004,optimal,0.09718058826009258
1.0,0.38,1.2094,0.3831,0.038310000000000004,380.031,optimal,0.10250518546927716
1.0,0.4,1.272,0.403,0.0403,400.03000000000003,optimal,0.10782978267846127
1.0,0.42,1.3346,0.4229,0.04229,420.029,optimal,0.11315437988764543
1.0,0.44,1.3972,0.4428,0.04428,440.028,optimal,0.11847897709682996
1.0,0.46,1.4598,0.4627,0.046270000000000006,460.02700000000004,optimal,0.12380357430601537
1.0,0.48,1.5224,0.4826,0.048260000000000004,480.026,optimal,0.12912817151519948
1.0,0.5,1.585,0.5025,0.05025,500.02500000000003,optimal,0.1344527687243844
1.0,0.52,1.6476,0.5224,0.05224,520.024,optimal,0.13977736593356857
1.0,0.54,1.7102000000000002,0.5423,0.05423000000000001,540.023,optimal,0.14510196314275312
1.0,0.56,1.7728000000000002,0.5622,0.056220000000000006,560.022,optimal,0.15042656035193805
1.0,0.58,1.8354,0.5821,0.05821,580.021,optimal,0.15575115756112265
1.0,0.6,1.898,0.602,0.060200000000000004,600.02,optimal,0.16107575477030675
1.0,0.62,1.9606,0.6219,0.06219,620.019,optimal,0.16640035197949216
1.0,0.64,2.0232,0.6418,0.06418,640.018,optimal,0.17172494918867592
1.0,0.66,2.0858,0.6617000000000001,0.06617,660.017,optimal,0.1770495463978613
1.0,0.68,2.1484,0.6816000000000001,0.06816000000000001,680.0160000000001,optimal,0.18237414360704463
1.0,0.7,2.211,0.7015,0.07015,700.015,optimal,0.1876987408162296
1.0,0.72,2.2736,0.7213999999999999,0.07214,720.014,optimal,0.19302333802541446
1.0,0.74,2.3362,0.7413,0.07413,740.013,optimal,0.19834793523459945
1.0,0.76,2.3988,0.7612,0.07612000000000001,760.012,optimal,0.2036725324437836
1.0,0.78,2.4614,0.7811,0.07811000000000001,780.011,optimal,0.20899712965296777
1.0,0.8,2.524,0.801,0.0801,800.01,optimal,0.2143217268621522
1.0,0.82,2.5866,0.8209,0.08209,820.0089999999999,optimal,0.21964632407133677
1.0,0.84,2.6492,0.8408,0.08408,840.0079999999999,optimal,0.22497092128052298
1.0,0.86,2.7117999999999998,0.8607,0.08607000000000001,860.007,optimal,0.23029551848970548
1.0,0.88,2.7744,0.8806,0.08806,880.006,optimal,0.23562011569889052
1.0,0.9,2.837,0.9005,0.09005,900.005,optimal,0.24094471290807537
1.0,0.92,2.8996,0.9204,0.09204000000000001,920.004,optimal,0.24626931011725953
1.0,0.94,2.9621999999999997,0.9402999999999999,0.09403,940.0029999999999,optimal,0.2515939073264452
1.0,0.96,3.0248,0.9601999999999999,0.09602000000000001,960.002,optimal,0.2569185045356295
1.0,0.98,3.0873999999999997,0.9801,0.09801,980.001,optimal,0.2622431017448137
1.0,1.0,3.15,1.0,0.1,1000.0,optimal,0.26756769895399934
1.5,0.0,0.02,0.005,0.0005,0.05,optimal,0.0013378384947697111
1.5,0.02,0.0826,0.024900000000000002,0.00249,20.049000000000003,optimal,0.006662435703954669
1.5,0.04,0.1452,0.0448,0.00448,40.048,optimal,0.011987032913139215
1.5,0.06,0.20779999999999998,0.0647,0.00647,60.047,optimal,0.017311630122323965
1.5,0.08,0.27040000000000003,0.08460000000000001,0.00846,80.046,optimal,0.022636227331508312
1.5,0.1,0.333,0.10450000000000001,0.010450000000000001,100.045,optimal,0.027960824540692663
1.5,0.12,0.3956,0.1244,0.012440000000000001,120.044,optimal,0.033285421749877815
1.5,0.14,0.45820000000000005,0.1443,0.014430000000000002,140.04300000000003,optimal,0.038610018959062166
1.5,0.16,0.5208,0.1642,0.01642,160.04200000000003,optimal,0.04393461616824629
1.5,0.18,0.5834,0.18409999999999999,0.01841,180.04100000000003,optimal,0.04925921337743106
1.5,0.2,0.646,0.20400000000000001,0.0204,200.04000000000002,optimal,0.0545838105866154
1.5,0.22,0.7086,0.22390000000000002,0.02239,220.03900000000002,optimal,0.05990840779580036
1.5,0.24,0.7712,0.2438,0.024380000000000002,240.038,optimal,0.0652330050049849
1.5,0.26,0.8338,0.2637,0.02637,260.03700000000003,optimal,0.07055760221416904
1.5,0.28,0.8964000000000001,0.2836,0.028360000000000003,280.03600000000006,optimal,0.075882199423354
1.5,0.3,0.959,0.3035,0.030350000000000002,300.035,optimal,0.08120679663253894
1.5,0.32,1.0216,0.3234,0.03234,320.03400000000005,optimal,0.08653139384172348
1.5,0.34,1.0842,0.34330000000000005,0.034330000000000006,340.0330000000001,optimal,0.09185599105090766
1.5,0.36,1.1468,0.36319999999999997,0.03632,360.03200000000004,optimal,0.0971805882600922
1.5,0.38,1.2094,0.3831,0.038310000000000004,380.031,optimal,0.10250518546927673
1.5,0.4,1.272,0.403,0.0403,400.03000000000003,optimal,0.10782978267846169
1.5,0.42,1.3346,0.4229,0.04229,420.029,optimal,0.11315437988764543
1.5,0.44,1.3972,0.4428,0.04428,440.028,optimal,0.11847897709682996
1.5,0.46,1.4598,0.4627,0.046270000000000006,460.02700000000004,optimal,0.12380357430601499
1.5,0.48,1.5224,0.4826,0.048260000000000004,480.026,optimal,0.12912817151519948
1.5,0.5,1.585,0.5025,0.05025,500.02500000000003,optimal,0.13445276872438403
1.5,0.52,1.6476,0.5224,0.05224,520.024,optimal,0.13977736593356857
