gen_id,durum
BSU07840,cikarildi_gereksiz
BSU16730,cikarildi_gereksiz
BSU16740,cikarildi_gereksiz
BSU33310,cikarildi_gereksiz
BSU31060,cikarildi_gereksiz
BSU39260,cikarildi_gereksiz
BSU06310,cikarildi_gereksiz
BSU07490,cikarildi_gereksiz
BSU19350,cikarildi_gereksiz
BSU39610,cikarildi_gereksiz
BSU38040,cikarildi_gereksiz
BSU39380,cikarildi_gereksiz
BSU07830,cikarildi_gereksiz
BSU38110,cikarildi_gereksiz
BSU02090,cikarildi_gereksiz
BSU03860,cikarildi_gereksiz
BSU03040,cikarildi_gereksiz
BSU18800,cikarildi_gereksiz
BSU38560,cikarildi_gereksiz
BSU06240,cikarildi_gereksiz
BSU40110,cikarildi_gereksiz
BSU30200,cikarildi_gereksiz
BSU24070,cikarildi_gereksiz
BSU03900,cikarildi_gereksiz
BSU39860,cikarildi_gereksiz
BSU38830,cikarildi_gereksiz
BSU32830,cikarildi_gereksiz
BSU15720,cikarildi_gereksiz
BSU15730,cikarildi_gereksiz
BSU16670,cikarildi_gereksiz
BSU27200,cikarildi_gereksiz
BSU06170,cikarildi_gereksiz
BSU05860,cikarildi_gereksiz
BSU08850,cikarildi_gereksiz
BSU14400,cikarildi_gereksiz
BSU24170,cikarildi_gereksiz
BSU13910,cikarildi_gereksiz
BSU13900,cikarildi_gereksiz
BSU08840,cikarildi_gereksiz
BSU27070,cikarildi_gereksiz
BSU27040,cikarildi_gereksiz
BSU08830,cikarildi_gereksiz
BSU27050,cikarildi_gereksiz
BSU27060,cikarildi_gereksiz
BSU07700,cikarildi_gereksiz
BSU15650,cikarildi_gereksiz
BSU39050,cikarildi_gereksiz
BSU13110,cikarildi_gereksiz
BSU08820,cikarildi_gereksiz
BSU38630,cikarildi_gereksiz
BSU07920,cikarildi_gereksiz
BSU33040,cikarildi_gereksiz
BSU33170,cikarildi_gereksiz
BSU33180,cikarildi_gereksiz
BSU04470,cikarildi_gereksiz
BSU36010,cikarildi_gereksiz
BSU33160,cikarildi_gereksiz
BSU03930,cikarildi_gereksiz
BSU15510,cikarildi_gereksiz
BSU15520,cikarildi_gereksiz
BSU29470,cikarildi_gereksiz
BSU36000,cikarildi_gereksiz
BSU33490,cikarildi_gereksiz
BSU24150,cikarildi_gereksiz
BSU13850,cikarildi_gereksiz
BSU26650,cikarildi_gereksiz
BSU18260,cikarildi_gereksiz
BSU04520,cikarildi_gereksiz
BSU37170,cikarildi_gereksiz
BSU32820,cikarildi_gereksiz
BSU15350,cikarildi_gereksiz
BSU04620,cikarildi_gereksiz
BSU19230,cikarildi_gereksiz
BSU38580,cikarildi_gereksiz
BSU05830,cikarildi_gereksiz
BSU29680,cikarildi_gereksiz
BSU05820,cikarildi_gereksiz
BSU29710,cikarildi_gereksiz
BSU34550,cikarildi_gereksiz
BSU38590,cikarildi_gereksiz
BSU29700,cikarildi_gereksiz
BSU05810,cikarildi_gereksiz
BSU38390,cikarildi_gereksiz
BSU08070,cikarildi_gereksiz
BSU29690,cikarildi_gereksiz
BSU08710,cikarildi_gereksiz
BSU38570,cikarildi_gereksiz
BSU08090,cikarildi_gereksiz
BSU30240,cikarildi_gereksiz
BSU33710,cikarildi_gereksiz
BSU08060,cikarildi_gereksiz
BSU28120,cikarildi_gereksiz
BSU33700,cikarildi_gereksiz
BSU08080,cikarildi_gereksiz
BSU33730,cikarildi_gereksiz
BSU33720,cikarildi_gereksiz
BSU31050,cikarildi_gereksiz
BSU30440,cikarildi_gereksiz
BSU27910,cikarildi_gereksiz
BSU30430,cikarildi_gereksiz
BSU30450,cikarildi_gereksiz
BSU22690,cikarildi_gereksiz
BSU30410,cikarildi_gereksiz
BSU30420,cikarildi_gereksiz
BSU09300,cikarildi_gereksiz
BSU07610,cikarildi_gereksiz
BSU13130,cikarildi_gereksiz
BSU02360,cikarildi_gereksiz
BSU00140,cikarildi_gereksiz
BSU26860,cikarildi_gereksiz
BSU35020,cikarildi_gereksiz
BSU37240,cikarildi_gereksiz
BSU23850,cikarildi_gereksiz
BSU37190,cikarildi_gereksiz
BSU14520,cikarildi_gereksiz
BSU09840,cikarildi_gereksiz
BSU25500,cikarildi_gereksiz
BSU36130,cikarildi_gereksiz
BSU36120,cikarildi_gereksiz
