gen_id,durum
BSU36850,tutuldu_gerekli
BSU36830,tutuldu_gerekli
BSU36800,tutuldu_gerekli
BSU36820,tutuldu_gerekli
BSU36860,tutuldu_gerekli
BSU36870,tutuldu_gerekli
BSU36880,tutuldu_gerekli
BSU30820,tutuldu_gerekli
BSU19310,tutuldu_gerekli
BSU24340,tutuldu_gerekli
BSU29200,tutuldu_gerekli
BSU22440,tutuldu_gerekli
BSU24350,tutuldu_gerekli
BSU29210,tutuldu_gerekli
BSU11210,tutuldu_gerekli
BSU11200,tutuldu_gerekli
BSU28300,tutuldu_gerekli
BSU28310,tutuldu_gerekli
BSU11230,tutuldu_gerekli
BSU11240,tutuldu_gerekli
BSU16920,tutuldu_gerekli
BSU02270,tutuldu_gerekli
BSU00460,tutuldu_gerekli
BSU18000,tutuldu_gerekli
BSU11220,tutuldu_gerekli
BSU00500,tutuldu_gerekli
BSU35740,tutuldu_gerekli
BSU22830,tutuldu_gerekli
BSU29750,tutuldu_gerekli
BSU22710,tutuldu_gerekli
BSU39060,tutuldu_gerekli
BSU00760,tutuldu_gerekli
BSU38770,tutuldu_gerekli
BSU00740,tutuldu_gerekli
BSU00750,tutuldu_gerekli
BSU36590,tutuldu_gerekli
BSU01370,tutuldu_gerekli
BSU31350,tutuldu_gerekli
BSU29140,tutuldu_gerekli
BSU37150,tutuldu_gerekli
BSU14190,tutuldu_gerekli
BSU35670,tutuldu_gerekli
BSU27610,tutuldu_gerekli
BSU33940,tutuldu_gerekli
BSU06440,tutuldu_gerekli
BSU38160,tutuldu_gerekli
BSU38140,tutuldu_gerekli
BSU38170,tutuldu_gerekli
BSU38150,tutuldu_gerekli
BSU02230,tutuldu_gerekli
BSU01780,tutuldu_gerekli
BSU40420,tutuldu_gerekli
BSU36900,tutuldu_gerekli
BSU09540,tutuldu_gerekli
BSU11190,tutuldu_gerekli
BSU27270,tutuldu_gerekli
BSU00730,tutuldu_gerekli
BSU06520,tutuldu_gerekli
BSU06420,tutuldu_gerekli
BSU06430,tutuldu_gerekli
BSU10520,tutuldu_gerekli
BSU17460,tutuldu_gerekli
BSU14610,tutuldu_gerekli
BSU23380,tutuldu_gerekli
BSU32170,tutuldu_gerekli
BSU07570,tutuldu_gerekli
BSU15680,tutuldu_gerekli
BSU05740,tutuldu_gerekli
BSU04560,tutuldu_gerekli
BSU21870,tutuldu_gerekli
BSU22490,tutuldu_gerekli
BSU04640,tutuldu_gerekli
BSU16770,tutuldu_gerekli
BSU31400,tutuldu_gerekli
BSU21810,tutuldu_gerekli
BSU28080,tutuldu_gerekli
BSU38490,tutuldu_gerekli
BSU00780,tutuldu_gerekli
BSU15540,tutuldu_gerekli
BSU15530,tutuldu_gerekli
BSU15500,tutuldu_gerekli
BSU00770,tutuldu_gerekli
BSU23080,tutuldu_gerekli
BSU22700,tutuldu_gerekli
BSU24280,tutuldu_gerekli
BSU25160,tutuldu_gerekli
BSU35940,tutuldu_gerekli
BSU22750,tutuldu_gerekli
BSU35960,tutuldu_gerekli
BSU22670,tutuldu_gerekli
BSU35950,tutuldu_gerekli
BSU22680,tutuldu_gerekli
BSU35930,tutuldu_gerekli
BSU00280,tutuldu_gerekli
BSU06490,tutuldu_gerekli
BSU14180,tutuldu_gerekli
BSU28390,tutuldu_gerekli
BSU15570,tutuldu_gerekli
BSU14000,tutuldu_gerekli
BSU16550,tutuldu_gerekli
BSU24270,tutuldu_gerekli
BSU33900,tutuldu_gerekli
BSU10360,tutuldu_gerekli
BSU39670,tutuldu_gerekli
BSU29440,tutuldu_gerekli
BSU29450,tutuldu_gerekli
BSU28680,tutuldu_gerekli
BSU09290,tutuldu_gerekli
BSU06360,tutuldu_gerekli
BSU22780,tutuldu_gerekli
BSU08450,tutuldu_gerekli
BSU08460,tutuldu_gerekli
BSU08440,tutuldu_gerekli
BSU16750,tutuldu_gerekli
BSU24850,tutuldu_gerekli
BSU22740,tutuldu_gerekli
BSU22760,tutuldu_gerekli
BSU30540,tutuldu_gerekli
BSU15490,tutuldu_gerekli
BSU16760,tutuldu_gerekli
BSU34910,tutuldu_gerekli
BSU29620,tutuldu_gerekli
BSU27870,tutuldu_gerekli
BSU22370,tutuldu_gerekli
BSU34920,tutuldu_gerekli
BSU36810,tutuldu_gerekli
BSU36840,tutuldu_gerekli
BSU38500,tutuldu_gerekli
BSU38530,tutuldu_gerekli
BSU38510,tutuldu_gerekli
BSU38520,tutuldu_gerekli
BSU00790,tutuldu_gerekli
BSU32260,tutuldu_gerekli
BG12900,tutuldu_gerekli
BSU32240,tutuldu_gerekli
BSU21910,tutuldu_gerekli
BSU22600,tutuldu_gerekli
BSU02290,tutuldu_gerekli
BSU10020,tutuldu_gerekli
BSU34890,tutuldu_gerekli
BSU04740,tutuldu_gerekli
BSU29130,tutuldu_gerekli
BSU30830,tutuldu_gerekli
BSU34870,tutuldu_gerekli
BSU34900,tutuldu_gerekli
BSU29180,tutuldu_gerekli
BSU22660,tutuldu_gerekli
BSU24080,tutuldu_gerekli
BSU02390,tutuldu_gerekli
BSU27850,tutuldu_gerekli
BSU00090,tutuldu_gerekli
BSU25070,tutuldu_gerekli
BSU00910,tutuldu_gerekli
BSU17370,tutuldu_gerekli
BSU00900,tutuldu_gerekli
BSU17390,tutuldu_gerekli
BSU28270,tutuldu_gerekli
BSU30550,tutuldu_gerekli
BSU28260,tutuldu_gerekli
BSU17380,tutuldu_gerekli
BSU28250,tutuldu_gerekli
BSU28280,tutuldu_gerekli
BSU15790,tutuldu_gerekli
BSU28290,tutuldu_gerekli
BSU15590,tutuldu_gerekli
BSU36370,tutuldu_gerekli
BSU13180,tutuldu_gerekli
BSU15910,tutuldu_gerekli
BSU21690,tutuldu_gerekli
BSU00930,tutuldu_gerekli
BSU10170,tutuldu_gerekli
BSU08650,tutuldu_gerekli
BSU15900,tutuldu_gerekli
BSU24740,tutuldu_gerekli
BSU11340,tutuldu_gerekli
BSU25660,tutuldu_gerekli
BSU03150,tutuldu_gerekli
BSU11870,tutuldu_gerekli
BSU26640,tutuldu_gerekli
BSU01580,tutuldu_gerekli
BSU24310,tutuldu_gerekli
BSU11010,tutuldu_gerekli
BSU03910,tutuldu_gerekli
BSU30790,tutuldu_gerekli
BSU30780,tutuldu_gerekli
BSU16090,tutuldu_gerekli
BSU32200,tutuldu_gerekli
BSU16100,tutuldu_gerekli
BSU11610,tutuldu_gerekli
BSU03130,tutuldu_gerekli
BSU33440,tutuldu_gerekli
BSU37110,tutuldu_gerekli
BSU35710,tutuldu_gerekli
BSU35760,tutuldu_gerekli
BSU22730,tutuldu_gerekli
BSU35720,tutuldu_gerekli
BSU36510,tutuldu_gerekli
BSU35700,tutuldu_gerekli
BSU25640,tutuldu_gerekli
BSU27860,tutuldu_gerekli
BSU35530,tutuldu_gerekli
BSU35750,tutuldu_gerekli
BSU35730,tutuldu_gerekli
BSU35690,tutuldu_gerekli
BSU35680,tutuldu_gerekli
BSU30800,tutuldu_gerekli
BSU11250,tutuldu_gerekli
BSU32250,tutuldu_gerekli
BSU24030,tutuldu_gerekli
BSU17890,tutuldu_gerekli
BSU24060,tutuldu_gerekli
BSU24050,tutuldu_gerekli
BSU17680,tutuldu_gerekli
BSU24040,tutuldu_gerekli
BSU15550,tutuldu_gerekli
BSU40340,tutuldu_gerekli
BSU15560,tutuldu_gerekli
BSU18670,tutuldu_gerekli
BSU33920,tutuldu_gerekli
BSU12910,tutuldu_gerekli
BSU15190,tutuldu_gerekli
BSU32110,tutuldu_gerekli
BSU22640,tutuldu_gerekli
BSU14860,tutuldu_gerekli
BSU22630,tutuldu_gerekli
BSU14590,tutuldu_gerekli
BSU14580,tutuldu_gerekli
BSU14600,tutuldu_gerekli
BSU15180,tutuldu_gerekli
BSU35660,tutuldu_gerekli
BSU29190,tutuldu_gerekli
BSU30870,tutuldu_gerekli
BSU01770,tutuldu_gerekli
BSU23070,tutuldu_gerekli
BSU23860,tutuldu_gerekli
BSU36760,tutuldu_gerekli
BSU33930,tutuldu_gerekli
BSU15220,tutuldu_gerekli
BSU15200,tutuldu_gerekli
BSU33910,tutuldu_gerekli
BSU16540,tutuldu_gerekli
BSU29790,tutuldu_gerekli
BSU15230,tutuldu_gerekli
BSU31150,tutuldu_gerekli
BSU04570,tutuldu_gerekli
BSU21920,tutuldu_gerekli
BSU12840,tutuldu_gerekli
BSU40550,tutuldu_gerekli
BSU22610,tutuldu_gerekli
BSU27900,tutuldu_gerekli
BSU16510,tutuldu_gerekli
BSU06530,tutuldu_gerekli
BSU22650,tutuldu_gerekli
BSU06500,tutuldu_gerekli
BSU34860,tutuldu_gerekli
BSU06450,tutuldu_gerekli
BSU06470,tutuldu_gerekli
BSU06480,tutuldu_gerekli
BSU06460,tutuldu_gerekli
BSU34880,tutuldu_gerekli
BSU03200,tutuldu_gerekli
BSU00510,tutuldu_gerekli
